Animal,Component,PRE_Score_Var,POST_Score_Var,Delta_Score_Var,PRE_Cum_VarExp_%,POST_Cum_VarExp_%,Change_%
Animal1,FPC1,65012.584943,60124.290695,-4888.294249,14.765839,12.723559,-7.518997
Animal1,FPC2,52263.067994,48499.814944,-3763.253050,26.635973,22.987135,-7.200597
Animal1,FPC3,43269.752434,46869.233195,3599.480760,36.463520,32.905646,8.318700
Animal1,FPC4,40717.610505,46362.236317,5644.625812,45.711417,42.716866,13.862861
Animal1,FPC5,38143.218904,43871.445213,5728.226309,54.374611,52.000983,15.017679
Animal1,FPC6,37284.843109,41808.137099,4523.293989,62.842849,60.848460,12.131723
Animal1,FPC7,36077.799460,38000.289725,1922.490265,71.036939,68.890117,5.328735
Animal1,FPC8,34670.514410,34271.255490,-399.258920,78.911403,76.142632,-1.151581
Animal1,FPC9,31765.658446,32725.211638,959.553192,86.126108,83.067972,3.020725
Animal1,FPC10,29822.496883,31609.176462,1786.679579,92.899476,89.757136,5.991046
Animal2,FPC1,52127.416813,62839.212672,10711.795858,16.852259,11.628703,20.549255
Animal2,FPC2,34390.974058,60386.050425,25995.076366,27.970508,22.803437,75.586915
Animal2,FPC3,33463.427260,56851.622320,23388.195060,38.788891,33.324107,69.891810
Animal2,FPC4,30093.339882,54650.416498,24557.076616,48.517759,43.437434,81.603028
Animal2,FPC5,28649.998351,51741.189055,23091.190703,57.780010,53.012393,80.597529
Animal2,FPC6,26824.066421,47685.977466,20861.911045,66.451955,61.836916,77.773111
Animal2,FPC7,24108.566387,44503.570550,20395.004163,74.246007,70.072520,84.596503
Animal2,FPC8,22596.595897,40681.499973,18084.904076,81.551255,77.600830,80.033754
Animal2,FPC9,21090.693209,38680.421958,17589.728749,88.369660,84.758831,83.400430
Animal2,FPC10,14920.531415,35038.344065,20117.812651,93.193315,91.242847,134.833084
Animal3,FPC1,114193.129695,78669.824935,-35523.304760,18.366156,15.346956,-31.108093
Animal3,FPC2,62791.270148,60131.909346,-2659.360802,28.465137,27.077524,-4.235240
Animal3,FPC3,58269.050292,55234.647589,-3034.402703,37.836791,37.852732,-5.207572
Animal3,FPC4,57863.166204,51610.959351,-6252.206853,47.143165,47.921028,-10.805159
Animal3,FPC5,56732.619414,48253.600095,-8479.019319,56.267708,57.334369,-14.945581
Animal3,FPC6,53257.264942,47605.875822,-5651.389120,64.833296,66.621351,-10.611490
Animal4,FPC1,64079.356418,65435.525304,1356.168886,14.419738,12.624647,2.116390
Animal4,FPC2,59445.381380,60539.969384,1094.588004,27.796696,24.304782,1.841334
Animal4,FPC3,47099.150712,57372.147850,10272.997137,38.395390,35.373740,21.811428
Animal4,FPC4,44200.182888,53916.242215,9716.059326,48.341730,45.775942,21.981944
Animal4,FPC5,42156.037042,51457.250283,9301.213241,57.828077,55.703724,22.063775
Animal4,FPC6,38426.750914,49577.327439,11150.576525,66.475225,65.268807,29.017745
Animal5,FPC1,40891.156242,50467.110940,9575.954698,11.799849,10.679025,23.418156
Animal5,FPC2,38708.152520,47392.424078,8684.271558,22.969754,20.707436,22.435252
Animal5,FPC3,34910.294804,46352.859815,11442.565011,33.043722,30.515871,32.777051
Animal5,FPC4,34105.105155,43887.101833,9781.996679,42.885339,39.802542,28.681913
Animal5,FPC5,32198.143380,40040.629102,7842.485721,52.176668,48.275286,24.356950
Animal5,FPC6,31281.263618,37630.546993,6349.283375,61.203417,56.238047,20.297401
Animal6,FPC1,41379.788338,58956.321247,17576.532909,11.910027,10.303529,42.476131
Animal6,FPC2,39450.685033,57261.838177,17811.153143,23.264815,20.310920,45.147893
Animal6,FPC3,35366.156958,56283.531813,20917.374855,33.443984,30.147338,59.145173
Animal6,FPC4,33371.472280,55543.490439,22172.018159,43.049039,39.854422,66.440036
Animal6,FPC5,32848.374160,54942.994751,22094.620591,52.503535,49.456560,67.262448
Animal6,FPC6,31134.414901,54202.344643,23067.929742,61.464714,58.929258,74.091419
