Animal,Region,Component,PRE_tau_ms,POST_tau_ms,Delta_tau_ms,Change_%
Animal1,M1,L1,8550.000,8200.000,-350.000,-4.094
Animal1,M1,L2,350.000,300.000,-50.000,-14.286
Animal1,M1,L3,300.000,350.000,50.000,16.667
Animal1,M1,L4,450.000,400.000,-50.000,-11.111
Animal1,M1,L5,300.000,350.000,50.000,16.667
Animal1,M1,L6,,,,
Animal1,PFC,L1,8550.000,8200.000,-350.000,-4.094
Animal1,PFC,L2,350.000,300.000,-50.000,-14.286
Animal1,PFC,L3,300.000,350.000,50.000,16.667
Animal1,PFC,L4,450.000,400.000,-50.000,-11.111
Animal1,PFC,L5,300.000,350.000,50.000,16.667
Animal1,PFC,L6,300.000,300.000,0.000,0.000
Animal1,HPC,L1,8550.000,8200.000,-350.000,-4.094
Animal1,HPC,L2,350.000,300.000,-50.000,-14.286
Animal1,HPC,L3,300.000,350.000,50.000,16.667
Animal1,HPC,L4,450.000,400.000,-50.000,-11.111
Animal1,HPC,L5,300.000,350.000,50.000,16.667
Animal1,HPC,L6,300.000,300.000,0.000,0.000
Animal2,M1,L1,7950.000,4550.000,-3400.000,-42.767
Animal2,M1,L2,400.000,350.000,-50.000,-12.500
Animal2,M1,L3,350.000,350.000,0.000,0.000
Animal2,M1,L4,350.000,250.000,-100.000,-28.571
Animal2,M1,L5,350.000,300.000,-50.000,-14.286
Animal2,M1,L6,,,,
Animal2,PFC,L1,7950.000,4550.000,-3400.000,-42.767
Animal2,PFC,L2,400.000,350.000,-50.000,-12.500
Animal2,PFC,L3,350.000,350.000,0.000,0.000
Animal2,PFC,L4,350.000,250.000,-100.000,-28.571
Animal2,PFC,L5,350.000,300.000,-50.000,-14.286
Animal2,PFC,L6,450.000,350.000,-100.000,-22.222
Animal2,HPC,L1,7950.000,4550.000,-3400.000,-42.767
Animal2,HPC,L2,400.000,350.000,-50.000,-12.500
Animal2,HPC,L3,350.000,350.000,0.000,0.000
Animal2,HPC,L4,350.000,250.000,-100.000,-28.571
Animal2,HPC,L5,350.000,300.000,-50.000,-14.286
Animal2,HPC,L6,450.000,350.000,-100.000,-22.222
Animal3,M1,L1,5000.000,8750.000,3750.000,75.000
Animal3,M1,L2,650.000,850.000,200.000,30.769
Animal3,M1,L3,350.000,350.000,0.000,0.000
Animal3,M1,L4,300.000,350.000,50.000,16.667
Animal3,M1,L5,250.000,300.000,50.000,20.000
Animal3,M1,L6,,,,
Animal3,PFC,L1,5000.000,8750.000,3750.000,75.000
Animal3,PFC,L2,650.000,850.000,200.000,30.769
Animal3,PFC,L3,350.000,350.000,0.000,0.000
Animal3,PFC,L4,300.000,350.000,50.000,16.667
Animal3,PFC,L5,250.000,300.000,50.000,20.000
Animal3,PFC,L6,300.000,300.000,0.000,0.000
Animal3,HPC,L1,5000.000,8750.000,3750.000,75.000
Animal3,HPC,L2,650.000,850.000,200.000,30.769
Animal3,HPC,L3,350.000,350.000,0.000,0.000
Animal3,HPC,L4,300.000,350.000,50.000,16.667
Animal3,HPC,L5,250.000,300.000,50.000,20.000
Animal3,HPC,L6,300.000,300.000,0.000,0.000
Animal4,M1,L1,5000.000,5000.000,0.000,0.000
Animal4,M1,L2,400.000,500.000,100.000,25.000
Animal4,M1,L3,450.000,350.000,-100.000,-22.222
Animal4,M1,L4,350.000,300.000,-50.000,-14.286
Animal4,M1,L5,300.000,250.000,-50.000,-16.667
Animal4,M1,L6,,,,
Animal4,PFC,L1,5000.000,5000.000,0.000,0.000
Animal4,PFC,L2,400.000,500.000,100.000,25.000
Animal4,PFC,L3,450.000,350.000,-100.000,-22.222
Animal4,PFC,L4,350.000,300.000,-50.000,-14.286
Animal4,PFC,L5,300.000,250.000,-50.000,-16.667
Animal4,PFC,L6,300.000,300.000,0.000,0.000
Animal4,HPC,L1,5000.000,5000.000,0.000,0.000
Animal4,HPC,L2,400.000,500.000,100.000,25.000
Animal4,HPC,L3,450.000,350.000,-100.000,-22.222
Animal4,HPC,L4,350.000,300.000,-50.000,-14.286
Animal4,HPC,L5,300.000,250.000,-50.000,-16.667
Animal4,HPC,L6,300.000,300.000,0.000,0.000
Animal5,M1,L1,2500.000,1250.000,-1250.000,-50.000
Animal5,M1,L2,750.000,1450.000,700.000,93.333
Animal5,M1,L3,650.000,400.000,-250.000,-38.462
Animal5,M1,L4,400.000,350.000,-50.000,-12.500
Animal5,M1,L5,350.000,350.000,0.000,0.000
Animal5,M1,L6,,,,
Animal5,PFC,L1,2500.000,1250.000,-1250.000,-50.000
Animal5,PFC,L2,750.000,1450.000,700.000,93.333
Animal5,PFC,L3,650.000,400.000,-250.000,-38.462
Animal5,PFC,L4,400.000,350.000,-50.000,-12.500
Animal5,PFC,L5,350.000,350.000,0.000,0.000
Animal5,PFC,L6,350.000,350.000,0.000,0.000
Animal5,HPC,L1,2500.000,1250.000,-1250.000,-50.000
Animal5,HPC,L2,750.000,1450.000,700.000,93.333
Animal5,HPC,L3,650.000,400.000,-250.000,-38.462
Animal5,HPC,L4,400.000,350.000,-50.000,-12.500
Animal5,HPC,L5,350.000,350.000,0.000,0.000
Animal5,HPC,L6,350.000,350.000,0.000,0.000
