equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x1,1.227068369823262,1.0089393097221255,-0.21812906010113653,0.21812906010113653,Animal4,Day10
dx3/dt,x2,-3.6390081361244637,-3.460178070737801,0.1788300653866628,0.1788300653866628,Animal4,Day10
dx1/dt,x3,-1.1061167618744312,-0.9283803444498022,0.17773641742462898,0.17773641742462898,Animal4,Day10
dx3/dt,x2^2,0.5240376161249698,0.3691147495555163,-0.15492286656945348,0.15492286656945348,Animal4,Day10
dx2/dt,x1,-2.872503061905201,-2.7318824698424056,0.14062059206279542,0.14062059206279542,Animal4,Day10
dx3/dt,x1 x2,-0.05963073482089752,0.0672264860879823,0.12685722090887983,0.12685722090887983,Animal4,Day10
dx1/dt,x2 x3,-0.31223606573125073,-0.4182485889920611,-0.10601252326081034,0.10601252326081034,Animal4,Day10
dx2/dt,x3,2.7724728202148836,2.6681235115147133,-0.10434930870017034,0.10434930870017034,Animal4,Day10
dx2/dt,x1^2,0.40592907668315475,0.3174592235063424,-0.08846985317681233,0.08846985317681233,Animal4,Day10
dx1/dt,x2,3.446028764951161,3.3673733785870286,-0.0786553863641326,0.0786553863641326,Animal4,Day10
dx2/dt,x3^2,-0.32351414256428307,-0.2636761348465877,0.059838007717695374,0.059838007717695374,Animal4,Day10
dx1/dt,x2^2,-0.22945076872118242,-0.1718684899728022,0.057582278748380206,0.057582278748380206,Animal4,Day10
dx1/dt,x1 x2,1.0801560246188542,1.1344568994409843,0.054300874822130085,0.054300874822130085,Animal4,Day10
dx1/dt,x1,-1.9541489854951837,-2.008253344574021,-0.05410435907883748,0.05410435907883748,Animal4,Day10
dx3/dt,x1^2,-0.23746625445214714,-0.18450611257231359,0.052960141879833555,0.052960141879833555,Animal4,Day10
dx3/dt,1,0.3893505106171876,0.4403921405191228,0.05104162990193517,0.05104162990193517,Animal4,Day10
dx2/dt,x2^2,-0.24515791681890015,-0.20068464773350847,0.044473269085391676,0.044473269085391676,Animal4,Day10
dx1/dt,x1^2,-0.2873860341295494,-0.24577222603813578,0.0416138080914136,0.0416138080914136,Animal4,Day10
dx1/dt,1,-0.3835925380414235,-0.42356139167360685,-0.03996885363218333,0.03996885363218333,Animal4,Day10
dx1/dt,x3^2,0.2272540376966673,0.18914436930364087,-0.03810966839302643,0.03810966839302643,Animal4,Day10
dx2/dt,x2,0.1088470949781235,0.07309491932151224,-0.03575217565661126,0.03575217565661126,Animal4,Day10
dx2/dt,x2 x3,0.9588323184841265,0.9232070586239914,-0.035625259860135094,0.035625259860135094,Animal4,Day10
dx3/dt,x1 x3,0.18253426974625808,0.1521676193475027,-0.030366650398755385,0.030366650398755385,Animal4,Day10
dx3/dt,x2 x3,-1.0086192660033233,-1.0245934940639843,-0.015974228060660955,0.015974228060660955,Animal4,Day10
dx2/dt,x1 x2,-0.6225307264581236,-0.6084414742349734,0.014089252223150162,0.014089252223150162,Animal4,Day10
dx1/dt,x1 x3,0.08050006433584748,0.08875125937424495,0.008251195038397469,0.008251195038397469,Animal4,Day10
dx2/dt,x1 x3,-0.1671610825243758,-0.1600207619498194,0.007140320574556408,0.007140320574556408,Animal4,Day10
dx3/dt,x3^2,0.059487716880251416,0.05345473032078238,-0.006032986559469038,0.006032986559469038,Animal4,Day10
dx3/dt,x3,2.0516226750484816,2.0459541450823884,-0.005668529966093239,0.005668529966093239,Animal4,Day10
